Substance,Sector,EDGAR Country Code,Country,val
CO2,Agriculture,AFG,Afghanistan,0.046161494877341
CO2,Agriculture,ALB,Albania,0.064880163097727
CO2,Agriculture,ARG,Argentina,2.3233749086228
CO2,Agriculture,ARM,Armenia,0.036771427638728
CO2,Agriculture,AUS,Australia,2.471969197514
CO2,Agriculture,AUT,Austria,0.048303383824201
CO2,Agriculture,AZE,Azerbaijan,0.27321764295141
CO2,Agriculture,BEL,Belgium,0.038835763782773
CO2,Agriculture,BGD,Bangladesh,2.2510196559804
CO2,Agriculture,BGR,Bulgaria,1.071093166701
CO2,Agriculture,BIH,Bosnia and Herzegovina,0.023303091288419
CO2,Agriculture,BLR,Belarus,0.50241729320357
CO2,Agriculture,BRA,Brazil,12.913076042859
CO2,Agriculture,CAN,Canada,4.3975094159185
CO2,Agriculture,CHE,Switzerland and Liechtenstein,0.013125828473696
CO2,Agriculture,CHL,Chile,0.39047500076462
CO2,Agriculture,CHN,China,13.682473498406
CO2,Agriculture,CIV,C�te d�Ivoire,0.083309925546556
CO2,Agriculture,CMR,Cameroon,0.084483797418166
CO2,Agriculture,COL,Colombia,0.62742579089273
CO2,Agriculture,CRI,Costa Rica,0.15693942397156
CO2,Agriculture,CUB,Cuba,0.032371427658218
CO2,Agriculture,CYP,Cyprus,0.005286285210336
CO2,Agriculture,CZE,Czechia,0.10844628379563
CO2,Agriculture,DEU,Germany,0.59354061182678
CO2,Agriculture,DNK,Denmark,0.057922857063111
CO2,Agriculture,DOM,Dominican Republic,0.21548419612269
CO2,Agriculture,DZA,Algeria,0.15421105292094
CO2,Agriculture,ECU,Ecuador,0.52749551281039
CO2,Agriculture,EGY,Egypt,2.9726866393973
CO2,Agriculture,ESP,Spain and Andorra,1.116917473035
CO2,Agriculture,EST,Estonia,0.091404761595966
CO2,Agriculture,ETH,Ethiopia,0.46514000502306
CO2,Agriculture,FIN,Finland,
CO2,Agriculture,FRA,France and Monaco,2.0628245409691
CO2,Agriculture,GBR,United Kingdom,1.8664327089069
CO2,Agriculture,GEO,Georgia,0.10093495052743
CO2,Agriculture,GRC,Greece,0.20423821648929
CO2,Agriculture,GTM,Guatemala,0.56072337001525
CO2,Agriculture,HRV,Croatia,0.10697835010027
CO2,Agriculture,HUN,Hungary,0.19608129435153
CO2,Agriculture,IDN,Indonesia,6.7583225429471
CO2,Agriculture,IND,India,32.634818700884
CO2,Agriculture,IRL,Ireland,0.17274668046802
CO2,Agriculture,IRN,Iran,1.8583000857548
CO2,Agriculture,IRQ,Iraq,0.079136496520851
CO2,Agriculture,ISL,Iceland,
CO2,Agriculture,ISR,"Israel and Palestine, State of",0.072362079150605
CO2,Agriculture,ITA,"Italy, San Marino and the Holy See",0.73958552349548
CO2,Agriculture,JOR,Jordan,0.021844502100113
CO2,Agriculture,JPN,Japan,0.31593699176251
CO2,Agriculture,KAZ,Kazakhstan,0.45409846036155
CO2,Agriculture,KEN,Kenya,0.28434350077772
CO2,Agriculture,KGZ,Kyrgyzstan,0.10593953217351
CO2,Agriculture,KOR,South Korea,0.31662678146068
CO2,Agriculture,KWT,Kuwait,0.0018438093411451
CO2,Agriculture,LBN,Lebanon,0.031722689592547
CO2,Agriculture,LBY,Libya,0.015879540002602
CO2,Agriculture,LKA,Sri Lanka,0.32082102976181
CO2,Agriculture,LTU,Lithuania,0.4776835665552
CO2,Agriculture,LVA,Latvia,0.21468522199378
CO2,Agriculture,MAR,Morocco,0.61188768459547
CO2,Agriculture,MDA,Moldova,0.1595924919019
CO2,Agriculture,MEX,Mexico,2.9380559028382
CO2,Agriculture,MKD,North Macedonia,0.040737712765219
CO2,Agriculture,MLI,Mali,0.20640227283401
CO2,Agriculture,MMR,Myanmar/Burma,1.69626797952
CO2,Agriculture,MUS,Mauritius,0.019799997544391
CO2,Agriculture,MYS,Malaysia,1.2546652806912
CO2,Agriculture,NGA,Nigeria,1.1334773947438
CO2,Agriculture,NIC,Nicaragua,0.1578235988926
CO2,Agriculture,NLD,Netherlands,0.054125892739023
CO2,Agriculture,NOR,Norway,0.0062333333048834
CO2,Agriculture,NPL,Nepal,0.15231847093854
CO2,Agriculture,NZL,New Zealand,0.97423481809316
CO2,Agriculture,PAK,Pakistan,6.1019090358945
CO2,Agriculture,PER,Peru,0.97390896589095
CO2,Agriculture,PHL,Philippines,1.6744880511661
CO2,Agriculture,POL,Poland,1.8956496305377
CO2,Agriculture,PRK,North Korea,0.012676188590874
CO2,Agriculture,PRT,Portugal,0.033706196626869
CO2,Agriculture,PRY,Paraguay,0.076804354233372
CO2,Agriculture,QAT,Qatar,0.0015714282857143
CO2,Agriculture,ROU,Romania,1.2780174372477
CO2,Agriculture,RUS,Russia,6.891391751332
CO2,Agriculture,SAU,Saudi Arabia,0.2982584613823
CO2,Agriculture,SCG,Serbia and Montenegro,0.51525301502856
CO2,Agriculture,SDN,Sudan and South Sudan,0.024311942988888
CO2,Agriculture,SEN,Senegal,0.059612210813603
CO2,Agriculture,SLV,El Salvador,0.28623078023377
CO2,Agriculture,SVK,Slovakia,0.11808256933911
CO2,Agriculture,SVN,Slovenia,0.0039209133957053
CO2,Agriculture,SWE,Sweden,0.021843178234814
CO2,Agriculture,SYR,Syria,0.10186874692162
CO2,Agriculture,THA,Thailand,2.8619995182775
CO2,Agriculture,TJK,Tajikistan,0.10757811367759
CO2,Agriculture,TKM,Turkmenistan,0.85820016754278
CO2,Agriculture,TTO,Trinidad and Tobago,0.0094285697142857
CO2,Agriculture,TUN,Tunisia,0.093162894343508
CO2,Agriculture,TUR,T�rkiye,3.3653483622721
CO2,Agriculture,TWN,Taiwan,0.15038552454263
CO2,Agriculture,TZA,Tanzania,0.32846611514442
CO2,Agriculture,UKR,Ukraine,2.4741105209562
CO2,Agriculture,URY,Uruguay,0.36368353668345
CO2,Agriculture,USA,United States,7.0020356693553
CO2,Agriculture,UZB,Uzbekistan,1.9627084253769
CO2,Agriculture,VEN,Venezuela,0.10918054817062
CO2,Agriculture,VNM,Vietnam,1.9594169859291
CO2,Agriculture,ZAF,South Africa,1.0441626600614
CO2,Agriculture,ZMB,Zambia,0.23782565660058
CO2,Agriculture,ZWE,Zimbabwe,0.059982824457696
CO2,Buildings,ABW,Aruba,0.04406814735716
CO2,Buildings,AFG,Afghanistan,0.6012775282751
CO2,Buildings,AGO,Angola,2.9752379712652
CO2,Buildings,AIA,Anguilla,1.2120682789912E-05
CO2,Buildings,ALB,Albania,0.75405164017536
CO2,Buildings,ANT,Cura�ao,0.14167744714355
CO2,Buildings,ARE,United Arab Emirates,0.67686969462894
CO2,Buildings,ARG,Argentina,39.229481237366
CO2,Buildings,ARM,Armenia,1.9103657563995
CO2,Buildings,ATG,Antigua and Barbuda,0.026859778612316
CO2,Buildings,AUS,Australia,21.006518525001
CO2,Buildings,AUT,Austria,7.996141935919
CO2,Buildings,AZE,Azerbaijan,9.2818866831875
CO2,Buildings,BDI,Burundi,0.067521459267686
CO2,Buildings,BEL,Belgium,22.290307244415
CO2,Buildings,BEN,Benin,0.46594175455092
CO2,Buildings,BFA,Burkina Faso,0.42402792500712
CO2,Buildings,BGD,Bangladesh,12.64931726386
CO2,Buildings,BGR,Bulgaria,1.695594418702
CO2,Buildings,BHR,Bahrain,0.26867887068392
CO2,Buildings,BHS,Bahamas,0.1399800837591
CO2,Buildings,BIH,Bosnia and Herzegovina,0.80426933580485
CO2,Buildings,BLR,Belarus,6.5801624771847
CO2,Buildings,BLZ,Belize,0.025538829363465
CO2,Buildings,BMU,Bermuda,0.03072165154981
CO2,Buildings,BOL,Bolivia,2.9129254577979
CO2,Buildings,BRA,Brazil,41.677125793931
CO2,Buildings,BRB,Barbados,0.059061723921684
CO2,Buildings,BRN,Brunei,0.14452025105502
CO2,Buildings,BTN,Bhutan,0.10901544333297
CO2,Buildings,BWA,Botswana,0.13062529494723
CO2,Buildings,CAF,Central African Republic,0.023244749501725
CO2,Buildings,CAN,Canada,95.857475894161
CO2,Buildings,CHE,Switzerland and Liechtenstein,10.872889473332
CO2,Buildings,CHL,Chile,8.5707481658558
CO2,Buildings,CHN,China,638.1511863716
CO2,Buildings,CIV,C�te d�Ivoire,1.4979714303883
CO2,Buildings,CMR,Cameroon,0.66307633346686
CO2,Buildings,COD,Democratic Republic of the Congo,0.0001661241120782
CO2,Buildings,COG,Congo,0.06970312090501
CO2,Buildings,COK,Cook Islands,0.018578759911683
CO2,Buildings,COL,Colombia,10.181671561272
CO2,Buildings,COM,Comoros,0.030050798308744
CO2,Buildings,CPV,Cabo Verde,0.089386446109904
CO2,Buildings,CRI,Costa Rica,0.56090859066861
CO2,Buildings,CUB,Cuba,3.143490136888
CO2,Buildings,CYM,Cayman Islands,0.029762139772892
CO2,Buildings,CYP,Cyprus,0.58082810527316
CO2,Buildings,CZE,Czechia,11.009150077023
CO2,Buildings,DEU,Germany,123.54096466693
CO2,Buildings,DJI,Djibouti,0.057687522254614
CO2,Buildings,DMA,Dominica,0.0065306922561049
CO2,Buildings,DNK,Denmark,3.7066779396647
CO2,Buildings,DOM,Dominican Republic,1.8476682707855
CO2,Buildings,DZA,Algeria,33.040460646043
CO2,Buildings,ECU,Ecuador,7.9372158115853
CO2,Buildings,EGY,Egypt,22.7031484904
CO2,Buildings,ERI,Eritrea,0.055292567048739
CO2,Buildings,ESH,Western Sahara,0.029258011770703
CO2,Buildings,ESP,Spain and Andorra,35.134249686106
CO2,Buildings,EST,Estonia,0.47786232892169
CO2,Buildings,ETH,Ethiopia,1.828657439667
CO2,Buildings,FIN,Finland,3.3541545519806
CO2,Buildings,FJI,Fiji,0.28326442930465
CO2,Buildings,FLK,Falkland Islands,0.0021186270812668
CO2,Buildings,FRA,France and Monaco,70.663424092541
CO2,Buildings,GAB,Gabon,0.18635959143496
CO2,Buildings,GBR,United Kingdom,90.471213017385
CO2,Buildings,GEO,Georgia,2.9081173332498
CO2,Buildings,GHA,Ghana,1.5056801951743
CO2,Buildings,GIN,Guinea,0.27288235579193
CO2,Buildings,GLP,Guadeloupe,0.032056889650634
CO2,Buildings,GMB,The Gambia,0.053514635692476
CO2,Buildings,GNB,Guinea-Bissau,0.030450826957993
CO2,Buildings,GNQ,Equatorial Guinea,0.095286085994037
CO2,Buildings,GRC,Greece,7.7045173712526
CO2,Buildings,GRD,Grenada,0.011852978867656
CO2,Buildings,GRL,Greenland,0.26960741539414
CO2,Buildings,GTM,Guatemala,1.2524380033315
CO2,Buildings,GUF,French Guiana,0.013178992510476
CO2,Buildings,GUY,Guyana,0.4035742843236
CO2,Buildings,HKG,Hong Kong,1.3297298461457
CO2,Buildings,HND,Honduras,0.68477901790488
CO2,Buildings,HRV,Croatia,2.6038207031313
CO2,Buildings,HTI,Haiti,0.26471629396209
CO2,Buildings,HUN,Hungary,10.88614442999
CO2,Buildings,IDN,Indonesia,32.422731652393
CO2,Buildings,IND,India,211.78073283278
CO2,Buildings,IRL,Ireland,10.252754846815
CO2,Buildings,IRN,Iran,135.79146719138
CO2,Buildings,IRQ,Iraq,11.760388604297
CO2,Buildings,ISL,Iceland,0.71598256475459
CO2,Buildings,ISR,"Israel and Palestine, State of",1.8616164098925
CO2,Buildings,ITA,"Italy, San Marino and the Holy See",67.562175413835
